QLearningAgent * Best: 1 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 3 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 5 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 4 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 8 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 9 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 489 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 91 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 280 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 3 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 12 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 3 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 5 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 23 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 31 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 181 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 106693 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 288 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 5 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 5 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 5 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 9 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 10 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 7 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 60 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 40 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 12 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
QLearningAgent * Best: 5 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 3 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 9 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 1 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 2 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 10 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
QLearningAgent * Best: 37 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
