nStepSARSAAgent * Best: 4 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 7 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 8 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 5 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 11 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 43 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 49 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 80 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 54 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 58 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 354 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 206 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 499 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 333 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 1303 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 1677 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 1205 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
